Topic,Count,Name,CustomName,Representation,Representative_Docs
19,162,19_contamination fda_bacterial contamination_microbial contamination_contamination contain,"Particulate, residue, and microbial contamination","[""contamination fda"", ""bacterial contamination"", ""microbial contamination"", ""contamination contain"", ""contamination contamination"", ""contamination"", ""contain bacterial"", ""pe-pur foam"", ""ultrasound"", ""foreign substance""]","[""the polyester-based polyurethane (pe-pur) foam degrade into particles which enter the devices air pathway and be ingested or inhaled by the user, and the pe-pur foam off-gas certain chemicals."", ""the polyester-based polyurethane (pe-pur) foam degrade into particles which enter the device s the air pathway and be ingested or inhaled by the user, and the pe-pur foam off-gas certain chemicals."", ""manufacturer has identified a specific lot of non-conforming material manufactured by one of its suppliers. a manufacturer supplier incorrectly used polyester-based polyurethane (pe-pur) sound abatement foam, a non-conforming material in the devices and repair kits. pe-pur foam degrade into particles which enter the device s air pathway and be ingested or inhaled by the user. the foam degradation be exacerbated by use of unapproved cleaning methods such as unapproved ozone cleaners, and the pe-pur foam off-gas certain chemicals during initial use of the device.""]"
20,141,20_insulin infusion_glucose measurement_insulin pumps_diabetes management,"Insulin pump, glucose app, and diabetes therapy failures","[""insulin infusion"", ""glucose measurement"", ""insulin pumps"", ""diabetes management"", ""hypoglycemia"", ""insulin"", ""continuous glucose"", ""diabetes"", ""glucose values"", ""hyperglycemia""]","[""an error message was received when using the omnipod 5 app on compatible smartphones that prevented phone control users from controlling the omnipod 5 automated insulin delivery system from their omnipod 5 app which cause a delay in therapy. to reduce the volume of inquiries manufacturer was receiving from customers, an email was sent to all phone control users and the cause of the error message was resolved by reverting to prior certificates on the manufacturer cloud to secure communications between the omnipod 5 app sotware and the manufacturer cloud. this was limited to only certain compatible android smartphones and did not affect the omnipod 5 pods or the dedicated locked-down controller provided by manufacturer. all other omnipod 5 users were still able to manage their insulin with the device without use of the smartphone app and affected users were able to switch to the locked-down control provided to all users when they the device during the time the app was unavailable to them. further, the omnipod itself continued to deliver insulin as per its pre-programmed settings so although affected users who did not have the locked-down controller readily available not have been able to command insulin boluses during this time, they continued to receive basal insulin without interruption. lastly, users of the omnipod 5 were advised during training to always have backup supplies ready in the event of a device malfunction which would include alternative means to deliver insulin subcutaneously until the is resolved to minimize disruption to their insulin regimen. there were 2,168 complaints received out of 7,838 users with the android compatible smartphones affected and 9 mdrs were submitted, however, there were no serious injuries reported or reports of erroneous results as the primary was a delay in therapy. this defect cannot cause false results that could negatively impact patients."", ""ios and android: under certain conditions the affected app versions disregard historical bolus data potentially leading to an incorrect bolus insulin recommendation being provided to the user. ios only: pairing and using multiple meters with the accu-chek connect app can under rare circumstances cause the bolus advisor to fail to offer a correction bolus recommendation within the eligible time window following a blood glucose measurement (10 15 minutes). depending on the individual metabolic situation potentially incorrect bolus advice could lead to serious health consequences such as hypoglycemia. both software issues also cause the amount of active insulin displayed during the bolus calculation process to be incorrect and should not be used to manually calculate a bolus."", ""users of the freestyle libre 3 sensors reported situations where they were receiving erroneously high glucose results. the inaccurate higher glucose values lead to users calculating higher insulin bolus correctional doses based on inaccurate cgm glucose data. the inaccurate higher glucose values also contribute to missed or delayed recognition of hypoglycemia, when the sensor incorrectly reports normal or even high glucose values when the actual glucose is trending low or is low. if the hypoglycemia missed by the device occurs acutely, a user not be able to confirm the actual glucose with a self-monitored blood glucose (bg) and/or administer prompt intervention to raise glucose levels. the over-delivery of insulin and/or the missed or delayed detection of impending or overt hypoglycemia in the worst-case scenario lead to severe hypoglycemia/hypoglycemic crisis with significant adverse health consequences. such consequences include central nervous system dysfunction, loss of consciousness, seizure activity and lead to coma, permanent neurological damage, and death.""]"
21,179,21_carescape monitor_patient monitors_patient monitor_patient monitoring,"Patient monitor display, alarm, and communication failures","[""carescape monitor"", ""patient monitors"", ""patient monitor"", ""patient monitoring"", ""cause monitor"", ""monitor"", ""monitor display"", ""reboots"", ""monitor b650"", ""monitor model""]","[""when multiple carescape monitor b650 units are connected to the same network and a network overload occurs for a prolonged time, the monitors simultaneously restart as designed. the monitor restart will not be completed until the network has been corrected."", ""possible sound loss associated with the carescape monitor b650. when an external display is connected to the carescape monitor b650 using a usb extender cable with an active usb hub, the system experience a sound loss including alarm sounds from the patient monitor. this occur if the external display is powered off and on during normal operation of the monitor."", ""ge has become aware of multiple issues affecting the dash 3000/4000/5000 patient monitor and dash port 2 docking station: dash: 1. dash stops communicating on the unity network resulting in loss of monitoring at the carescape\"" cic pro central station*. 2. dash displays distorted ecg waveforms in combination monitoring mode. 3. dash incorrectly becomes time master on the unity network. 4.""]"
22,130,22_class laser_laser_laser caused_lasers,"Laser safety, output, and regulatory compliance failures","[""class laser"", ""laser"", ""laser caused"", ""lasers"", ""safety interlocks"", ""failure comply"", ""radiation control"", ""safety defect"", ""failed comply"", ""iec""]","[""these laser products fail to comply with 21 cfr 1040.10(f)(4) key control which requires, each laser system classified as a class iiib or iv laser product shall incorporate a key-actuated master control. the key shall be removable and the laser shall not be operable when the key is removed. , because while the laser is switched on, the key can be removed from the key switch. the correction is replacement with a key switch that captures the key when in the on position."", ""manufacturer llc failed to comply with the applicable standards regarding electronic product radiation control (eprc) regulations associated with the laser product performance standards and certification. this provides correction by the firm regarding zemits ndprime yag tattoo removal laser. the product requires update or is missing the following in part: remote interlock connector, safety interlocks, manual reset mechanism, beam attenuator, tests for determination of compliance, certification, class iv designation and warning, labels, and labeling."", ""the remote interlock connector, which is required by 21 cfr 1040.10(f)(3), in the remote stop box was not installed the connector or was mechanically installed but not wired. the labels placed on the projectors do not meet requirements specified in 21 cfr 1010.4 (variances), 21 cfr 1010.2 (certification), 21 cfr 1010.3 (identification) and 21 cfr 1040.10 (g)(labelling requirements). the identification label does not include the date of manufacture as required by 21 cfr 1010.3. the corrective action plan covers three families of laser light show of projectors: diode. club and pure with three different hardware configurations such as the number of the number of rj45 ports, radiant power of emissions and network configurations. no specific user manuals were provided to each model family as required by 21 cfr 1040.10(h)(1) (informational requirements (1) user information). the quality control test did not validate the manual reset function to enable resumption of laser radiation emission from class iv laser projectors after an interruption caused using a remote interlock. no supplemental product reports, as required according to 21 cfr 1002.11.""]"
23,132,23_enterococcus_blood culture_staphylococcus_escherichia coli,Microbiology culture and antimicrobial susceptibility test failures,"[""enterococcus"", ""blood culture"", ""staphylococcus"", ""escherichia coli"", ""streptococcus"", ""staphylococcus aureus"", ""antimicrobial"", ""false positive"", ""pseudomonas"", ""microbiological""]","[""biofire has identified an increased risk of false positive results when the filmarray blood culture identification (bcid) panel is used with biomrieux bact/alert standard anaerobic (sn) blood culture bottles. false positive results have been observed for pseudomonas aeruginosa and enterococcus."", ""synapsys software versions 4.20, 4.30, 5.10, 5.20, or 5.30 and utilizing the in-line breakpoint feature, an error is occurring where bd synapsys will incorrectly display breakpoints for organisms that do not have defined breakpoints in clsi or eucast. this occurs when the identified organism is included in the same interpretive group as a species for which there is a specific breakpoint. result in either a false susceptible or false resistant result. a false susceptible result can cause inadequate or incomplete antibiotic treatment due to the use of an ineffective antibiotic, and a false resistant result limit access to a preferred antibiotic regimen with possible elongation of therapy"", ""there is an increased risk of false positive proteus results when using the film array blood culture identification panel (bcid) in vitro manufacturertic test of blood cultures used in conjunction with specific media types. false positive proteus results from this test lead to patients receiving improper antibiotic treatment until culture results are available (within 24-48 hours).""]"
24,133,24_screws incorrect_incorrect screw_screw manufacturer_screw size,"Orthopedic screw sizing, packaging, and labeling errors","[""screws incorrect"", ""incorrect screw"", ""screw manufacturer"", ""screw size"", ""size screw"", ""screw length"", ""pedicle screws"", ""central screw"", ""cover screw"", ""lock screw""]","[""on 28, , manufacturer, inc. issued a minor removal of a lot of 18 screws that were found to be out of specification. the screw length was 5 mm shorter in length than the required specification for the screw size. the product is laser marked 8.5mm x 45mm, but its length measured 40mm."", ""one lot of matrixneuro 5mm screws was packaged in a body clip etched \""4\"", which indicated a 4mm screw. the outer package labeling correctly identifies a 5mm screw, but the body clop incorrectly identifies a shorter length for the screw."", ""product on the package label did not match what was inside the package. the label was for part number 00-2359-058-35 (manufacturer periarticular locking plate system 3.5mm locking screw 58mm length) lot number 62918019 while the product inside the package was part number 00-2359-014-24 (manufacturer periarticular locking plate system 2.4mm locking screw 14mm length) lot number 62896038.""]"
25,222,25_tip catheter_body catheter_catheter tip_catheter distal,"Catheter tip, shaft, and coating defects","[""tip catheter"", ""body catheter"", ""catheter tip"", ""catheter distal"", ""ablation catheters"", ""catheters contain"", ""catheter"", ""catheters"", ""catheter shaft"", ""catheter connector""]","[""increase in reports of polymer degradation of the catheter tip, resulting in tip fracture and/or separation. degradation could include loss of device function, separation of a device segment leading to medical intervention, or complications resulting from a separated segment. such complications include device fragments in the vascular system, genitourinary system, or other soft tissues. fragments within the vascular system could result in embolization to the heart or lungs, or occluding blood flow to end organs."", ""reports of catheter tip splits and or separation. loss of device function, medical intervention to retrieve separated segment, or complications resulting from separated tip occluding blood flow to end organs result. expanded 10/07/ to include additional catheters."", ""a manufacturing process lead to catheter tip fracture and or separation. potential adverse events include loss of device function, medical intervention to retrieve a separated segment, or complications resulting from a separated tip occluding blood flow to end organs. these catheters are used in venous or arterial pressure monitoring, blood sampling, and administration of drugs and fluids.""]"
26,208,26_catheters mislabeled_incorrect catheter_catheter incorrect_catheter packaging,"Catheter size, packaging, and labeling mix-ups","[""catheters mislabeled"", ""incorrect catheter"", ""catheter incorrect"", ""catheter packaging"", ""catheters incorrectly"", ""size catheter"", ""guide catheter"", ""catheter kits"", ""catheter connector"", ""catheter distal""]","[""manufacturer has determined that the french size indicator on the inner pouch incorrectly reflect a 6 french size, rather than the correct 5 french size. the catheters inside the pouch are the correct u5tran35 item, the outer carton has all the correct labeling, and all the other information and configuration details on both the carton and the pouch are correct."", ""the color coded french size indicator on the outer box incorrectly reflect a 6 french size, rather than the correct 5 french size. the catheters inside the carton are the correct dxt5jl40 item, the inner pouch has correct 5f labeling, information and configuration details."", ""some of the intermediate boxes within lot 140417-3, were labeled as p8, a french size 8 pediatric catheter but actually contain p10, french size 10 pediatric catheters. trying to use a p10 catheter for bladder drainage, where p8 catheters have been prescribed, result in acute urinary retention; and, forced attempts to insert the french size 10 catheter lead to urethral trauma.""]"
27,144,27_disinfection sterilization_sterilization parameters_sterilization instructions_sterilization method,"Reusable device cleaning, disinfection, and sterilization IFUs","[""disinfection sterilization"", ""sterilization parameters"", ""sterilization instructions"", ""sterilization method"", ""autoclave sterilization"", ""sterilization methods"", ""sterilizers"", ""steam sterilization"", ""sterilization trays"", ""sterilization tray""]","[""the parameters provided in the laparoscopic manual instruments instructions for use (ifu 1000-401-070 revision g or prior) do not support the unwrapped gravity cycle and the ethylene oxide cycle sterilization methods"", ""the parameters provided in the laparoscopic manual instruments instructions for use (ifu 1000-401-070 revision g or prior) do not support the unwrapped gravity cycle and the ethylene oxide cycle sterilization methods."", ""manufacturer manufacturerl has a global field corrective action for the standard offset cup impactor since the product was first released in 2004. manufacturer has identified through internal sterility assurance level validation testing that a sterility assurance level of 10-6 is not achieved on the standard offset cup impactor when it is subjected to the steam sterilization cycles and associated dry times that are specified in the current instructions for use (ifu) provided with the device. the standard offset cup impactor is provided non-sterile and must be sterilized prior to use in a surgery. manufacturer has not received any reports of deaths, illnesses, injuries, or other adverse effects associated with this .""]"
28,117,28_surgical table_surgical tables_repositioning patient_table cause,Imaging and operating table motion/support failures,"[""surgical table"", ""surgical tables"", ""repositioning patient"", ""table cause"", ""table moving"", ""patient table"", ""unintended movement"", ""cause malfunction"", ""operating table"", ""malfunction possible""]","[""when the control of the operating table was used in bluetooth mode, the operating table continued moving even after releasing the button on the control. originally, the root cause was thought to be confined to bluetooth/wireless communications between the control pendant and the surgical table. however, during investigation, mizuho discovered that the failure could be replicated even in wired mode if communication between the pendant and table were somehow interrupted. the root cause appears to be: if communication between the controller and table is interrupted while a button is pressed, the table does not know if/when a button is released. this occurs in wireless or wired mode."", ""manufacturer has learned from customer feedback and field service experience that damage from external impact to the table hydraulic column can cause the stainless steel shroud sections covering the table hydraulic column to become misaligned; if the damage is severe, the up/down movement of the table be impeded. in addition, the table hand control indicate that the table floor locks are unlock"", ""manufacturer healthcare corporation is issuing an urgent medical device correction for the pst 500 u precision surgical table due to a potential with loose spring pins in the spindle drives. this can cause the tabletop to unexpectedly tilt or move at any time, even without active use of the surgical table. this could potentially result in unintentional patient movement during surgical procedures and/or preparation for surgical procedures, including transport.""]"
29,119,29_software error_software patch_vulnerabilities_software anomalies,"General software defects, updates, and cybersecurity vulnerabilities","[""software error"", ""software patch"", ""vulnerabilities"", ""software anomalies"", ""software update"", ""cybersecurity vulnerability"", ""systems software"", ""cybersecurity vulnerabilities"", ""safety software"", ""software software""]","[""the firm will be performing a software update to address a software error which affects the listed products. this correction addresses four potential software issues: 1) \""password store corrupted\"" error message during system boot; 2) subsystem crash during examination; 3) dialog monitor computer (dmc) application crash while loading a study; and 4) software crash due to system internal timeout. 1 lead to a delay or interruption of procedure. issues 2, 3, and 4 result in delay in starting or continuing the examination, and also prevent the operator from starting or continuing a study;"", ""manufacturer is issuing a software update (version 3.2.4) to the brilliance ict and ict sp systems currently running software version 3.2.0, 3.2.1 or 3.2.3, addressing a number of non-conformances. a review was conducted of all nonconformances that are fixed by the software upgrade. none of these nonconformances result in unacceptable hazards. the nonconformance documented below had the highest sc"", ""a patch was released for a critical remote code execution vulnerability in remote desktop services. this vulnerability can be exploited remotely without authentication on certain operating systems. an attacker who successfully exploited this vulnerability could execute arbitrary code on the target system; then install programs; view, change, or delete data; or create new accounts with full user rights. if the vulnerability could be exploited locally, it would lock down the computer.""]"
30,104,30_ifu update_indications use_warnings precautions_revised ifu,Device labeling and IFU documentation errors,"[""ifu update"", ""indications use"", ""warnings precautions"", ""revised ifu"", ""contraindications warnings"", ""operator manual"", ""ifu manufacturer"", ""updated ifu"", ""ifu labeling"", ""updated instructions""]","[""ifu update includes an update to the device description, intended use/indications for use, contraindications, warnings, precautions, potential adverse events"", ""printed instructions for use (ifu) not shipped with device. the instructions for use contain the warnings, precautions, contraindications, and procedures for the preparation, implantation, and post operative care of the implantable port, failure to follow the instructions for use result in patient injury."", ""during final assembly operation, it was noticed that some of the primatrix instructions for use (ifus) from lot rm1608011 part 520-002v10 contained extra pages and/or missing pages: \"" 22 ifus contained duplicate pages 15 - 26 & 51 - 62 and were also missing pages 27 - 50 \"" 3 ifus were missing pages 27 - 50 \"" 1 ifu was missing pages 1 - 2 & 75 - 76 \"" 1 ifu was missing pages 15 - 62 while pages 27 50, 75 76, and 15 62 contain instructions written in a language other than english, pages 1 2 contain information regarding the indications for use, contraindications, device description, warning and precautions, and potential complications of the device.""]"
31,112,31_pump alarm_pump module_displayed pump_pump shuts,"Perfusion, blood pump, and fluid flow-control failures","[""pump alarm"", ""pump module"", ""displayed pump"", ""pump shuts"", ""pump stop"", ""pump assembly"", ""advanced perfusion"", ""malfunction alarm"", ""perfusion reports"", ""perfusion""]","[""manufacturer manufacturer (manufacturer cvs) has received reports of various roller pump malfunctions of the manufacturer advanced perfusion system 1 that could result in the inability to use the pump and would then require replacement with back-up equipment. description of malfunctions: \"" unplanned pump stop or pause \"" changes in pump speed if it is necessary to replace a roller pump during cardiopu"", ""manufacturer group usa, inc. has issued an urgent field safety notice regarding certain serial numbers of the manufacturer group s5 perfusion system due to reports of a \""fault in motor controller\"" alarm message displayed on the system panel. this could lead to unintended pump stoppage which result in permanent impairment or life-threatening injury. an out of specification electrical component was determin"", ""manufacturer group usa, inc. has issued an urgent field safety notice regarding certain serial numbers of the manufacturer group s5 perfusion system due to reports of a \""fault in motor controller\"" alarm message displayed on the system panel. this could lead to unintended pump stoppage which result in permanent impairment or life-threatening injury. an out of specification electrical component was determi""]"
32,80,32_latex allergy_rubber latex_natural latex_contained latex,Latex labeling and allergy-warning omissions,"[""latex allergy"", ""rubber latex"", ""natural latex"", ""contained latex"", ""latex-free"", ""latex free"", ""natural rubber"", ""latex warning"", ""non-latex"", ""rubber""]","[""package labeling indicates both \""latex free\"" and \""contains natural rubber latex\"" . the rubber bands do contain natural rubber latex. this could cause a significant risk to users with latex allergies."", ""although the natural rubber latex caution symbol is clearly displayed on the product label, the accompanying caution statement \""caution: this product contains natural rubber latex which cause allergic reactions\"" was not printed on the product label."", ""product contains dry natural rubber latex. label states latex free.""]"
33,92,33_balloon catheter_balloon catheters_dilatation catheter_intra-aortic balloon,Catheter balloon and inflation system defects,"[""balloon catheter"", ""balloon catheters"", ""dilatation catheter"", ""intra-aortic balloon"", ""catheter"", ""catheters"", ""pta balloon"", ""tube cuff"", ""occlusion balloon"", ""angioplasty pta""]","[""manufacturer is this removal of one lot of the coyote\"" over-the-wire pta balloon dilatation catheter and one lot of the coyote\"" monorail\"" pta balloon dilatation catheter. manufacturer has become aware that the balloons of the devices from these lots not deflate as expected during a procedure. to date, manufacturer has received three complaints for this . t"", ""manufacturer identified an with specific models and lots of the powercross .018 over the wire (otw) percutaneous transluminal angioplasty (pta) dilatation catheter. during an unrelated manufacturing inspection of scrapped products, an out of specification condition was observed. the catheter outer shafts were pinched and deformed at the proximal balloon bond. bench testing of affected devices showed that this resulted in either the inability to inflate the device, a slow deflation, or the inability to deflate the device post expansion."", ""manufacturer is the removal of certain batches of coyote\"" over-the-wire (otw) percutaneous transluminal angioplasty (pta) balloon dilatation catheter devices due to the potential for inflation/deflation difficulty during use in the peripheral vasculature. an internal investigation found that a manufacturing process variation resulted in catheters that not properly inflate/deflate. this was limited to coyote otw batches manufactured from 12sep2025 through 13oct2025. the processing variation has since been addressed. no other material numbers or batches are impacted by this removal.""]"
34,90,34_drill bit_drill guide_drill bits_incorrect drill,"Surgical drill, guide, and burr hardware defects","[""drill bit"", ""drill guide"", ""drill bits"", ""incorrect drill"", ""cannulated drill"", ""drill"", ""drill stop"", ""drilling"", ""instead drill"", ""driver screw""]","[""the firm received complaints of drill bits breaking during use with the prestige lp(tm) cervical disc system. subsequent investigation demonstrated the interaction of the drill guide and the drill bit lead to drill bit breakage."", ""the equinoxe reverse drill bit kits contain two 2mm diameter drill bits instead of one 2mm diameter drill bit and one 3.2mm diameter drill bit as intended."", ""traces of corrosion on the laser marking was detected on cannulated graduated drill bit, which could lead to the emission of wear / corrosion particles in the operated area, potentially leading to the following risks: inflammation, pain, allergy, adverse tissue reaction. device description: the drill bit is used to create the hole required for the introduction of the screw, it is suitable for manufacturer compression screws for cortical and spongy bone. drilling depth can be read on the instrument. the shaft is coupled with the 4.5mm surgical motor using a ao 4.5mm male drive connexion. the countersink bit is coupled to a 1.0mm k-wire to ensure guiding while drilling. the instrument is packaged in a plastic sheath sealed by welding.""]"
35,82,35_sars-cov-2 antibody_sars-cov-2 test_sars-cov-2_test kits,"COVID, respiratory virus, and infectious disease test failures","[""sars-cov-2 antibody"", ""sars-cov-2 test"", ""sars-cov-2"", ""test kits"", ""vitros immunomanufacturertic"", ""flu rsv"", ""false positive"", ""covid-19"", ""focus manufacturertics"", ""antigen""]","[""focus manufacturertics is the direct amplification discs (dad) supplied with the simplexa hsv 1 & 2 direct (mol2150), simplexa flu a/b & rsv direct (mol2650) and simplexa group a strep direct kits (mol2850) because it result in a false negative result, a false positive result or error code (s) 500 or 505, and it result in higher invalid rates."", ""focus manufacturertics is an urgent safety notice correction for simplexa flu a/b & rsv direct assay (mol2650) because focus manufacturertics has received some customer complaints of simplexa flu a/b & rsv lots due to sporadic false positive rsv signals, which result in a higher rsv false positive rate."", ""focus manufacturertics is providing an urgent safety notice for a correction to the labeling for simplexa\"" flu a/b & rsv direct (mol2650). focus manufacturertics received some customer complaints of simplexa flu a/b & rsv direct assays with sporadic false signals, which result in a higher false results rate due to a potential software spectral matrix and direct amplification disc storage.""]"
36,88,36_brain stimulation_implantable neurostimulators_implantable pulse_stimulation dbs,Neurostimulation and implanted programmer/communication failures,"[""brain stimulation"", ""implantable neurostimulators"", ""implantable pulse"", ""stimulation dbs"", ""cord stimulation"", ""neuromodulation"", ""stimulation output"", ""neurostimulators"", ""pulse generator"", ""stimulation""]","[""spinal cord stimulation (scs) implantable pulse generator (ipg) experience routine system check during ipg charging, which cause device reset, which lead to transient loss of stimulation; patients experience undesired sensations when therapy turns off for approx. 10-15 seconds and then back on, which lead patient to request surgical intervention for replacement or revision."", ""deep brain stimulation (dbs) implantable pulse generator (ipg) experience routine system check during ipg charging, which cause device reset. the device reset could lead transient loss of stimulation; patients experience undesired sensations, transient worsening of movement disorder symptoms, which lead patient to request surgical intervention for replacement or revision."", ""there is a potential affecting eterna spinal cord stimulation (scs) implantable pulse generators (ipgs), model 32400 and liberta rc deep brain stimulation (dbs) implantable pulse generators (ipgs), model 62400 . these devicess experience a loss of communication with the clinician programmer (cp) and/or the patient controller (pc).""]"
37,76,37_lens cause_manufactured misaligned_cataract surgery_manufacturerl optics,"Ophthalmic lens power, labeling, and optical defects","[""lens cause"", ""manufactured misaligned"", ""cataract surgery"", ""manufacturerl optics"", ""cataract"", ""intraocular"", ""eyepiece"", ""incorrect diopter"", ""eye injury"", ""lens""]","[""manufactured with misaligned axis resulting in lenses with the incorrect power, users experience poor visual acuity"", ""due to intraocular lens containing an angle out of specification (oos). the cylinder axis marks do not meet product specifications for the allowable angle between low power meridian (lpm) and toric cylinder axis marks."", ""an off-power error was identified, which resulted in a diopter of 16, rather than the intended 3 diopter. implantation of affected intraocular lens could result in functional visual impairment or reduction in visual acuity which could result in the need for optical or surgical correction.""]"
38,97,38_endoscopes_ed-530xt endoscope_endoscope_endoscope cleaner,"Endoscope cleaning, reprocessing, and channel defects","[""endoscopes"", ""ed-530xt endoscope"", ""endoscope"", ""endoscope cleaner"", ""manufacturer endoscopy"", ""evotech endoscope"", ""endoscopic"", ""endoscopy"", ""laparoscopic manual"", ""high-level disinfection""]","[""during endoscopic procedures using a combination of the video processor epk-i8020c and i20c series video endoscope, the observed image can become reddish or dark. users have observed smoke like steam and noted that the light guide at the tip is hot during use / after the endoscope is removed from the patient and cause thermal injury to the patient s mucous membrane."", ""revised oer-pro, oer-elite, oer-mini endoscope reprocessor labeling- the lf-v and lf-p are no longer compatible endoscopes for reprocessing in the oers. the addendum highlights the following changes: 1. removal of lf-v and lf-p as compatible with the oer 2. change conditions for eto gas sterilization from 12% eto to 100% eto 3. removing the reusable cleaning brush for the manual cleaning. single use brushes remain compatible"", ""issuance of validated, new reprocessing procedures. this corrective action is being undertaken as a result of ongoing manufacturer and fda activities relating to reported patient infections associated with duodenoscopes. the new cleaning procedure requires additional recess flushing and forceps elevator raising/lowering steps during precleaning, manual cleaning and manual disinfection.""]"
39,90,39_clot detection_elevated platelet_hematology analyzers_hematology analyzer,"Hematology, coagulation, and blood collection test errors","[""clot detection"", ""elevated platelet"", ""hematology analyzers"", ""hematology analyzer"", ""clotting"", ""platelet"", ""platelet aggregation"", ""sample tube"", ""clotting times"", ""sample aspiration""]","[""when a clot detection error is generated during the sample aspiration from the primary sample tube the aspirated volume is dispensed into the first empty secondary sample tube. this secondary sample tube is flagged with error 2132 or 1442 and sent to iom priority output racks to be manually managed. the current error message associated to error 2132 or 1442 recommends that the operator manages these secondary sample tubes according to laboratory practice, but it does not clarify that these secondary sample tubes be diluted with water from the hydraulic circuit of the aliquoter module this lead to reporting of erroneous results if the diluted sample is used for testing."", ""there is potential that fluorescent platelet (plt-f) and immature platelet fraction (ipf%, #) results obtained using the lots listed above exhibit lower than actual plt-f and ipf values. the be recognized by a large discrepancy between the impedance platelet (plt-i) result and the plt-f result. in most cases, the falsely decreased plt-f results display a plt abn scattergram message with an asterisk beside the result or an action message: difference between plt and plt- f. check the results. these are indicators of unreliable data. in rare instances, platelet flags be absent. the plt-i results are unaffected."", ""there is a potential that fluorescent platelet (plt-f) and immature platelet fraction (ipf%) results performed using the lots exhibit lower than expected plt-f and ipf values. the be recognized by a large discrepancy between the impedance platelet (plt-i) value and a false low plt-f value. in most cases, the falsely decreased plt-f results displayed a \""plt abn scattergram\"" message with asterisks beside the results indicating the data is unreliable. in rare instances, platelet flags be absent. the plt-i counts are unaffected. the plt-f is a reflex test used to confirm plt-i results due to flagging or low values. as such, the likely impact to patient results is low. affected results display a discrepancy between the plt-i and plt-f, with lower than expected plt-f results that do not match the patient's clinical picture.""]"
40,94,40_gantry rotation_gantry_contact gantry_scanning interruption,"X-ray gantry, detector, and collimator mechanical hazards","[""gantry rotation"", ""gantry"", ""contact gantry"", ""scanning interruption"", ""arm x-ray"", ""patient scan"", ""scout scanning"", ""safety mechanism"", ""x-ray tube"", ""detector positioned""]","[""manufacturer has become aware that 3 bolts that secure a power supply to the rotating side of the gantry were over-torqued on certain lightspeed 16 ct scanner or pet/ct dst scanner.. in the unlikely event that the component becomes loose on the ct gantry during operation, it could result in serious bodily injury if the component were expelled. there were no incidents or injuries reported as a res"", ""1) 1) potential intermittent cause image data problems, lead to artifacts; 2) potential intermittent scout scanning interruption due to angle signal drift caused by external interference; 3) metal edge overlap of mylar strip in gantry create sharp edge. lead to repeat scanning and abrasions."", ""1) service function cause false marking of a bad channel resulting in ring artifacts; 2) potential intermittent scout scanning interruption due to angle signal drift caused by external interference; 3) metal edge overlap of mylar strip in gantry create sharp edge. lead to repeat scanning and abrasions (n/a for serial no. 200036)""]"
41,115,41_design specifications_technical support_non-compliant_manufactured specification,"Quality-system, manufacturing-control, and compliance failures","[""design specifications"", ""technical support"", ""non-compliant"", ""manufactured specification"", ""specification"", ""specifications"", ""failed comply"", ""inconsistencies identified"", ""confidentiality integrity"", ""integrity availability""]","[""installation acceptance test document (iatd) non compliant with regulations. records shows table height measurements out of specification with the consequence of potential system mis-alignment."", ""product service credentials used by some bd technical support teams to access certain bd products were accessed by an unauthorized actor. until these product service credentials are updated, there is a risk of unauthorized access that impact the confidentiality, integrity and/or availability of the relevant products and associated data."", ""bd confirmed that product service credentials used by some bd technical support teams to access certain bd products were accessed by an unauthorized actor. until these product service credentials are updated, there is a risk of unauthorized access that impact the confidentiality, integrity and/or availability of the relevant products and associated data.""]"
42,143,42_sterile kit_sterile surgical_non-sterile component_sterile portion,Kits and trays containing recalled or non-sterile components,"[""sterile kit"", ""sterile surgical"", ""non-sterile component"", ""sterile portion"", ""placed sterile"", ""surgical kits"", ""surgical gowns"", ""sterilization process"", ""oxide sterilization"", ""inside sterile""]","[""deroyal manufactured custom sterile surgical kits containing the covidien-dover(tm) irrigation tray with piston syringe that contains the medline aplicare povidone iodine prep pads. the prep pads were subsequently because medline aplicare determined the product would not support the 36 month expiration date listed on the label."", ""the kits contained surgical gowns. the gowns were manufactured at locations that did not maintain proper environmental conditions. there is no assurance that the surgical gowns are sterile. an inadequately sterilized surgical gown could compromise a sterile field and increase the risk of a surgical site infection."", ""the manufacturerl procedure trays contain one or more surgical gowns. the gowns were manufactured at locations that did not maintain proper environmental conditions. there is no assurance that the surgical gowns are sterile. an inadequately sterilized surgical gown could compromise a sterile field and increase the risk of a surgical site infection. due to the configuration of the trays, the gowns come into contact with other components within the tray posing a risk of cross contamination.""]"
