Topic,Count,Name,CustomName,Representation,Representative_Docs
9,235,9_fda approval_fda clearance_approved fda_clearance fda,Marketed without FDA clearance or authorization,"[""fda approval"", ""fda clearance"", ""approved fda"", ""clearance fda"", ""fda regulatory"", ""fda inspection"", ""fda market"", ""cleared fda"", ""marketed cleared"", ""fda""]","[""device was marketed without fda 510(k) clearance or a pma."", ""manufacturer was violatively distributing prestibio\"" breastmilk alcohol test strip, diagnosus sars-cov-2 antibody (igg/igm) test, healthywiser ketofast\"" ketone test strips and prestibio\"" ketone test strips without marketing authorization. umi is also their tests because they are going out of business and would not be able to continue fulfilling any post-market responsibilities of these distributed products. umi claims to hold 510(k)s for the other devices, purchased the intellectual property in from the previous 510(k) holder, but fda has been unable to verify this information. the devices have unknown performance characteristics because the firm is unable to provide any documentation that the devices were manufactured in conformance with the quality system regulation, including documentation (e.g., dhf) that the distributed devices had not been modified since original clearance in a way that could impact their safety and effectiveness, documentation of controlled storage temperature/humidity, and post-market surveillance documentation, such as complaints and adverse events."", ""medical device components were marketed without fda clearance and without fda approval""]"
10,255,10_patient images_patient image_patient exam_patient information,Medical imaging software and PACS/DICOM study errors,"[""patient images"", ""patient image"", ""patient exam"", ""patient information"", ""patient data"", ""incorrect patient"", ""wrong patient"", ""misdiagnosis"", ""correct patient"", ""patient study""]","[""manufacturer is aware of a potential safety risk where an image labeling situation exists in the image viewer software of the centricity cardio imaging product, version 5.0 sp1. multiple studies be displayed side by side by selecting \""compare study\"" from the study list, or by opening prior studies in the patient folder. in these cases, the viewer differentiates the studies wityh a label (curr"", ""manufacturer has become aware of an in centricity universal viewer zero footprint client (zfp) version v6.0 sp11.x where the latest report is not shown by default to the user. the occur when a study has multiple dicom structured reports (i.e. preliminary, final, and/or addendum) stored in different series."", ""a database handling error could occur during the image acquisition process affecting the completeness of acquired images with centricity pacs-iw. there is a potential that one or more image series (i.e. all images within an image set) be missing from an exam without indication to the user. while this is rare, this can occur with imaging studies that consist of a very small number of images per series. e.g. cr thorax exam with 1 image per series.""]"
11,229,11_patient fall_risk injury_fall patient_safety lock,"Patient lifts, tables, and support-structure fall hazards","[""patient fall"", ""risk injury"", ""fall patient"", ""safety lock"", ""injury patient"", ""arm drop"", ""operator patient"", ""tube arm"", ""user fall"", ""safety""]","[""a component of the device was by a supplier. in rare cases of inadequate maintenance or very high clinical workload, the first steel wire rope of the lifting column, which is designed to take the load, can break without triggering the safety lock. this can lead to overloading of the safety cable, which is not designed to permanently carry the load of the lifting column or continuously move under load. this could cause material fatigue and cause the arm to drop unexpectedly during patient positioning. if the arm drops unexpectedly, patients and users be seriously injured."", ""manufacturer has identified via customer complaints, the potential for the mounting bolt connecting the caster to the base frame of the patient lifts to become loose. loose hardware can cause wear to the hardware and housings. if left unresolved, the caster separate from the base of the lift causing the lift to tilt and a patient fall. failure does not occur right away but happens over time if the lift is not properly maintained. patient falls are inherently dangerous and result in a range of injuries that are dependent on physical condition of the patient and the nature of the fall. when injuries occur, they are typically non-serious injuries such as bruising, lacerations, or abrasions. in rare cases, more serious injuries such as bone fracture, head trauma, or death can occur. for caregivers using the lift, attempts to manually stabilize a lift if it becomes unstable could result in sprains, serious back injuries, or bone fractures."", ""in rare cases of high clinical workload, the steel cables inside the lifting column of the overhead tube, which are designed to take the load, rapture without triggering the safety lock. this could lead to overloading the safety rope, which is not designed for continuous load and ongoing movement under load. this lead to mechanical fatigue and cause the arm to drop down unexpectedly during movement in vertical direction and during patient positioning.""]"
12,231,12_sterilized manufacturer_risk contamination_sterile manufacturer_adequately sterilized,Sterility assurance and sterilization validation failures,"[""sterilized manufacturer"", ""risk contamination"", ""sterile manufacturer"", ""adequately sterilized"", ""sterilization validation"", ""sterilization processes"", ""contamination"", ""labeled sterile"", ""distributed sterilized"", ""sterile sterility""]","[""manufacturer products are being because of compromised sterility, not limited to potentially damaged packaging. serious deficiencies in the manufacturing processes and uncontrolled and inadequate storage conditions increase the risk of contamination and result in patient infection.."", ""manufacturer is the initial importer and private label distributor of medi choice arm slings (product). the product is manufactured in china by tops medical articles nantong inc. manufacturer first learned of the product that prompted the product removal action via customer complaints received in . two customer complaints received on 1\""1, reported surface contamination on the arm slings. two additional complaints reported on 19, and 7, reported the same . upon receipt of the complaints on 1, , manufacturer immediately a capa investigation for root cause analysis and determination of corrective/preventive actions. a quality inspection of inventory confirmed that the surface contamination was confined to lots manufactured in , , and of . the surface contamination for these lots was found to be frequent. subsequent product lots were inspected and no surface contamination was found. limited inventory from lots prior to were available and inspected as well. no surface contamination was found on these prior lots. manufacturer has quarantined the affected product lots. the product is on hold at all manufacturer distribution centers (dc). samples of contaminated product have been sent to the manufacturer for evaluation and to a certified testing lab for identification of contaminate. these results are pending at this time. based on the frequency of the product defect as well as evaluation of potential adverse health event risk, manufacturer a for the above stated affected product lots."", ""manufacturer products are being because of compromised sterility, not limited to potentially damaged packaging. serious deficiencies in the manufacturing processes and uncontrolled and inadequate storage conditions increase the risk of contamination and result in patient infection.""]"
13,182,13_radiation dose_dose calculation_incorrect dose_dose calculations,Radiation dose calculation and treatment planning errors,"[""radiation dose"", ""dose calculation"", ""incorrect dose"", ""dose calculations"", ""calculation dose"", ""dose rate"", ""radiation treatment"", ""dose value"", ""dose displayed"", ""radiation therapy""]","[""the firm decided to when an was found with the dose calculation in raystation 2.5, raystation 2.5.1. the has not caused any patient mistreatment or other incidents. however, the user must be aware of this information to avoid incorrect dose calculations during treatment planning. the dose calculation is not correctly normalized in the unusual case of preventing the optimizatio"", ""signature from the user is necessary to proceed with specific actions in the proton therapy system (pts). iba became aware that the pts does not accept user names with more than ten characters. it is an when the user has no other choice than resuming an aborted treatment field based on the overall delivered dose displayed on the dose counter electronic unit (dceu). user s signature is required to perform this action. if the signature contains more than ten characters, the user will not be able to complete the aborted treatment field. an additional applies to electronic medical record (emr) centric sites and increase the probability of not being able to complete an aborted treatment field. it is not possible, in a new session, to resume from a local partial archive if the patient positioning system (pps) position has changed. if the user captures the pps position at every session in the oncology information system (ois) just after the setup process, the prescribed pps position is changed for the next session in the ois. this includes the partial continuation session. therefore, when comparing the prescribed pps position between ois and local database, the pts sees a difference and rejects the local partial archive. this forces the user to resume the interrupted irradiation based on the overall delivered dose displayed on the dceu instead of resuming from the full details of the interrupted beam."", ""the firm has learned that some raystation/rayplan users have commissioned machines with erroneous beam profile correction parameters. these parameters affect the dose calculated in corners of large or off-axis fields. this effect cannot be seen in the beam commissioning module and dose in large or off-axis fields needs to be validated using the beam 3d modeling module in rayphysics/rayplan physics. the user must be aware to avoid incorrect dose calculations during treatment planning.""]"
14,244,14_leakage_fluid leaks_leakage result_fluid leak,"Luer, tube, and connector leakage/disconnection","[""leakage"", ""fluid leaks"", ""leakage result"", ""fluid leak"", ""luer connector"", ""water leakage"", ""connectors"", ""blood leak"", ""blood leaks"", ""drip chamber""]","[""manufacturer is the smartsite needlefree connector, model number 2000e, because of connection issues. the affected smartsite connector lots unintentionally disconnect from a female luer, be difficult to disconnect from a female luer, or fail to disconnect from a female luer once attached. leakage also be observed if the connector disconnects from the female luer during in"", ""potential for spinning versions of male luers to exhibit leaks due to a molding defect. fluid leakage potentially cause delay of infusion, contamination of the fluid path, exposure to hazardous manufacturertions, blood loss, exposure to patient blood, or fluid path air-in-line."", ""under circumstances involving exposure to particular chemicals and mechanical forces, the male luer connectors for the specified iv administration and extension sets leak, crack, and/or break during use, which result in a delay in patient treatment, blood loss, infection, an air embolism, and/or underdosage of medication.""]"
15,230,15_syringes manufacturer_syringe packages_flush syringe_syringe needle,"Needles, syringes, and injection device defects","[""syringes manufacturer"", ""syringe packages"", ""flush syringe"", ""syringe needle"", ""syringe plunger"", ""needle safety"", ""syringes"", ""syringe"", ""needle supplier"", ""polypropylene foreign""]","[""nmi was notified by the manufacturer of the 10 ml bd posiflush sf saline flush syringes, that it had a on specific lots of the syringes as some syringe unit packages exhibited open seals which impact package integrity and potentially affect product sterility. based on the notification, nmi is specific picc kits that contain the affected 10 ml bd posiflush sf saline flush syringes."", ""manufacturer manufacturerl inc. (bbmi) this of various bbmi convenience kits containing the 22ga 1-1/2in safetyglide needle due tothe presence of loose polypropylene foreign matter was above release specification. this foreign matter has been identified as a product hub material which has been tested for biocompatibility per iso 10993 during the product development process."", ""manufacturer manufacturerl inc. (bbmi) this of various bbmi convenience kits containing the 22ga 1-1/2in safetyglide needle due to the presence of loose polypropylene foreign matter was above release specification. this foreign matter has been identified as a product hub material which has been tested for biocompatibility per iso 10993 during the product development process.""]"
16,172,16_battery failure_battery depletion_premature battery_depletion battery,"Battery depletion, charging, and power loss hazards","[""battery failure"", ""battery depletion"", ""premature battery"", ""depletion battery"", ""battery alarm"", ""battery backup"", ""power battery"", ""battery"", ""backup battery"", ""battery power""]","[""manufacturer advanced perfusion system 1 battery charge is being depleted faster than expected during periods of system shutdown. the system 1 falsely indicate a longer battery life than actual battery time remaining if not subjected to regular use, such as would occur with a backup system. this result in unexpected system shutdown. prolonged battery depletion cause permanent battery damage."", ""the battery capacity of the optional ps500 power supply unit for the infinity (acs) workstation critical and neonatal care was rapidly and unexpectedly reduced, despite using the most recent power supply firmware version 1.50 released in ( z-0436-). the batteries were prematurely discharged, even though an adequate battery charge status was displayed on the device."", ""manufacturer has received several reports in which monitors with lithium ion batteries that had exceeded their battery life expectancy have overheated or ignited. these batteries should be replaced every 3 years or upon reaching 300 charge-discharge cycles. although the manufacturer suresigns vs & vm monitors and view station (vsv) can display actual information on either or both battery age and charge-discharge cycles, the existing labeling does not include full instructions on how to use this information to determine when to replace the battery. an overheated battery in turn cause the device case to overheat and possibly melt or cause the device to ignite, which can cause injury to a patient, nearby users, or cause damage to property.""]"
17,181,17_infusion pumps_infusion pump_infusion interruption_syringe infusion,"Infusion pump flow, alarm, and therapy interruption failures","[""infusion pumps"", ""infusion pump"", ""infusion interruption"", ""syringe infusion"", ""safety infusion"", ""syringe pump"", ""infusion manufacturer"", ""pump module"", ""under-infusion"", ""interruption infusion""]","[""cadd-solis ambulatory infusion pumps, with software versions before v4.3, have the following issues:1. upstream occlusion, 2. stop and power keys unresponsive, 3. manual mode air detector, 4. single bubble air detection, 5. error codes not displayed at power up, 6. audible alarm, 7. low sensitivity air in line detection threshold, 8. pharmguard server password. smiths manufacturerl corrected many of the issues included in this notification in previous software updates and the corrections were carried forward into all subsequent software releases. please ensure you have the most recent cadd software (v4.3 - ) installed on your pumps."", ""medfusion model 4000 syringe infusion pumps, with the following software versions, have the following issues: 1. delivery during motor not running high priority alarm (v1.0.0, v1.1.0, v1.1.1, v1.1.2), 2. re-administered loading dose (v1.0.0, v1.1.0, v1.1.1, v1.1.2), 3. incorrect critical data failure alarm, 4. interruption of bolus or loading dose delivery (v1.0.0, v1.1.0, v1.1.1, v1.1.2), 5. incorrect total bolus/loading dose displayed (v1.1.0, v1.1.1, v1.1.2), 6. volume limit before bolus/loading dose complete (v1.1.2), 7. drug library lower limit displayed incorrectly (v1.6.0, v1.6.1), 8. depleted battery alarm (all versions previous to v1.6.5), 9. loss of wireless connectivity (v1.5.0, v1.5.1, v1.6.0, v1.6.1, v1.6.4), 10. pharmguard server password (v2.3, v2.4, v2.5). smiths manufacturerl corrected all issues included in this notification in previous software updates and the corrections were carried forward into all subsequent software releases. please ensure you have the most recent medfusion software installed on your pumps."", ""medfusion syringe pumps, with software versions before v6.0.0, have the following issues:1. delivery during motor not running high priority alarm, 2. infusion restarted with incorrect parameters, 3. screen lock, 4. interruption of bolus or loading dose delivery, 5. pump displays incorrect bolus/loading dose, 6. loading/bolus dose below the minimum recommended rate, 7. motor rate error, 8. incorrect last settings, 9. corrupt configuration, 10. auto lock, 11. toolbox configuration loading dose time values. smiths manufacturerl corrected all issues included in this notification in previous software updates and the corrections were carried forward into all subsequent software releases. please ensure you have the most recent medfusion software (v6.0.0) installed on your pumps.""]"
18,164,18_monitor defibrillator_defibrillator monitor_external defibrillator_defibrillator,Defibrillator and pacemaker therapy failures,"[""monitor defibrillator"", ""defibrillator monitor"", ""external defibrillator"", ""defibrillator"", ""defibrillation"", ""pacemaker"", ""ventricular assist"", ""shock patient"", ""ecg"", ""electrodes""]","[""due to bluetooth malfunction on a subset of implantable cardioverter defibrillator (icd) and cardia resynchronization therapy defibrillator *crt-d) devices that were manufactured prior to as a result of crystal component within the bluetooth low energy (ble) circuit. this results in the device entering an inductive telemetry only mode with loss of bluetooth communication. in some instances, thought ble communication is unavailable, the circuit remain in a state which draws excessive power affecting battery longevity."", ""lifepak cr plus automated external defibrillators (aed) or lifepak express aed fail to initiate voice prompts when the on/off button is pressed and the lid is opened due to an internal component (reed switch) that can intermittently become fixed in the closed position. a defibrillator in this condition will fail to deliver a shock, with the potential result that therapy is not delivered and a patient is not resuscitated."", ""manufacturer has become aware of a potential for loss of high voltage and anti-tachycardia pacing therapy in entrust and escudo implantable cardioverter defibrillators (icds) as they near elective replacement indicator (eri) voltage. under certain circumstances, the device display an immediate end of life (eol) observation with no prior eri alert. though no eri alert is triggered, there not be enough remaining battery capacity to charge the high voltage circuits, resulting in an excessive charge time eol observation, leading to a loss of high voltage and anti-tachycardia pacing therapy.""]"
